depth_min	depth_max	Pb210ex	Pb210ex_er
0	1	96.7087150638806	5.89478809171801
1	2	79.7563052957675	5.70266930450484
2	3	66.5689447948347	5.53302742904005
3	4	51.6119058459993	5.38366462245769
4	5	54.454350960172	5.25252072701951
5	6	43.8681240499252	5.13767610760244
6	7	35.0782797136193	5.03735340998644
7	8	38.1495728953037	4.94991777095286
8	9	32.8610614028523	4.87387523722358
9	10	29.3598448244896	4.80786935930592
10	11	17.4615740534426	4.7506760962308
11	12	21.2290802665769	4.70119728676953
12	13	4.50410494012846	4.65845301078168
13	14	7.72088494784727	4.6215731870146
14	15	16.3462014698236	4.58978874116718
15	16	13.2460294772442	4.56242264177348
16	17	-2.48735364649638	4.53888105201074
17	18	13.2434633089515	4.51864479142889
18	19	3.49626363342954	4.50126124896081
19	20	0.769700784454145	4.48633684125533
20	21	9.79137727319189	4.47353007035433
21	22	9.44063687573675	4.46254520261314
22	23	5.52302257479774	4.45312656623327
23	24	6.43442779707867	4.44505344700988
24	25	2.36331418893888	4.43813554982976
