depth_min	depth_max	Pb210ex	Pb210ex_er
0	1	92.4911598775629	5.89478809171801
1	2	79.1226231792505	5.70266930450484
2	3	67.6863551830575	5.53302742904005
3	4	57.9030686026151	5.38366462245769
4	5	49.5338439266173	5.25252072701951
5	6	42.3742947197736	5.13767610760244
6	7	36.249576262612	5.03735340998644
7	8	31.0101156351693	4.94991777095286
8	9	26.5279589681273	4.87387523722358
9	10	22.6936466569162	4.80786935930592
10	11	19.4135402277923	4.7506760962308
11	12	16.607535574775	4.70119728676953
12	13	14.2071067219657	4.65845301078168
13	14	12.1536323375936	4.6215731870146
14	15	10.3969641312699	4.58978874116718
15	16	8.89420217300371	4.56242264177348
16	17	7.60864722581298	4.53888105201074
17	18	6.50890450664455	4.51864479142889
18	19	5.56811698837712	4.50126124896081
19	20	4.76330951922922	4.48633684125533
20	21	4.07482774218661	4.47353007035433
21	22	3.48585811219349	4.46254520261314
22	23	2.98201728935531	4.45312656623327
23	24	2.55100088064641	4.44505344700988
24	25	2.18228295197632	4.43813554982976
